YEAR,MONTH,QUARTER,MKT_CARRIER,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER_NAME,MKT_UNIQUE_CARRIER,MKT_UNIQUE_CARRIER_NAME,OP_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER_NAME,OP_UNIQUE_CARRIER,OP_UNIQUE_CARRIER_NAME,PAX_ALT_TRANS,PAX_NO_ALT_TRANS,PAX_NO_COMP_1,PAX_NO_COMP_2,PAX_NO_COMP_3,TOT_DEN_BOARDING,PAX_COMP_1,PAX_COMP_2,PAX_UPGRADE,PAX_DOWNGRADE,TOT_BOARDING,COMP_PAID_1,COMP_PAID_2,COMP_PAID_3,CODE_SHARE,OP_CARRIER_SOURCE
2018,3,1,DL,19790,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,0,0,0,0,0,0,972,1779,657,713060,0,0,0,true,EV
2018,3,1,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,2,0,0,0,2,2,1082,0,0,1425341,0,2017,0,true,EV
2018,3,1,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,3,0,0,0,3,3,2230,1595,1349,2411261,0,3101,0,false,EV
2018,6,2,DL,19790,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,0,0,0,0,0,0,675,1470,440,566909,0,0,0,true,EV
2018,6,2,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,1,0,0,0,1,1,1140,0,0,1460502,0,500,0,true,EV
2018,6,2,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,7,0,5,0,12,12,2225,1197,1098,2350886,0,4303,0,false,EV
2018,9,3,DL,19790,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,0,0,0,0,0,0,437,726,269,358858,0,0,0,true,EV
2018,9,3,UA,19977,United Air Lines Inc.,UA,United Air Lines Inc.,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,0,0,0,0,0,0,1226,0,0,1423293,0,0,0,true,EV
2018,9,3,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,1,0,2,0,3,3,1866,488,545,2175952,0,2700,0,false,EV
2018,12,4,DL,19790,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,0,0,0,0,0,0,152,135,55,88217,0,0,0,true,EV
